ArrestID,CaseMasterID,AccusedID,PolicePersonID,PoliceStationID,ArrestDate,ArrestType,ArrestLocation,BailStatus,ArrestMemoPrepared,MedicalExamination,SeizedItems
270,187,382,188,4,2025-04-29 09:00:00,Arrest,Highway Checkpost,In Custody,No,No,No Seizure
271,247,491,176,3,2025-06-14 02:00:00,Arrest,Bus Stand,In Custody,Yes,No,Gold Jewellery
272,55,119,442,45,2026-02-01 07:00:00,Arrest,Public Place,In Custody,No,No,Laptop
273,454,901,250,110,2025-04-01 23:00:00,Arrest,Workplace,Judicial Custody,Yes,Yes,Mobile Phone
274,119,251,118,68,2025-01-08 09:00:00,Arrest,Village,On Bail,No,Yes,Laptop
275,266,524,81,47,2025-11-23 19:00:00,Arrest,Railway Station,Judicial Custody,No,No,Documents
276,5,10,240,95,2026-02-20 17:00:00,Preventive Custody,Village,On Bail,Yes,Yes,Mobile Phone
277,99,197,205,151,2026-06-10 14:00:00,Arrest,Hotel,In Custody,Yes,Yes,No Seizure
278,307,604,63,45,2026-08-25 16:00:00,Arrest,Village,In Custody,No,No,Mobile Phone
279,40,82,210,54,2026-03-10 06:00:00,Surrender,Market Area,In Custody,No,Yes,Firearm
280,391,784,196,167,2025-10-26 16:00:00,Arrest,City,In Custody,No,No,Knife
281,300,588,351,33,2026-06-24 08:00:00,Surrender,Highway Checkpost,Judicial Custody,Yes,No,Gold Jewellery
282,400,798,3,28,2025-09-04 02:00:00,Arrest,Residence,On Bail,Yes,No,Knife
283,115,240,176,2,2026-05-17 13:00:00,Arrest,Railway Station,On Bail,No,No,Documents
284,139,291,290,16,2024-12-20 12:00:00,Arrest,Village,In Custody,No,Yes,Vehicle
285,105,212,126,35,2026-01-04 12:00:00,Arrest,Highway Checkpost,On Bail,Yes,No,Firearm
286,361,718,210,54,2025-05-31 23:00:00,Arrest,Village,In Custody,Yes,Yes,Firearm
287,177,360,469,130,2025-07-12 04:00:00,Arrest,Bus Stand,In Custody,No,Yes,Cash
288,225,450,457,180,2025-10-13 02:00:00,Arrest,Residence,Judicial Custody,Yes,Yes,Knife
289,112,228,158,126,2025-09-08 14:00:00,Arrest,Highway Checkpost,On Bail,Yes,Yes,No Seizure
290,479,951,451,163,2026-03-04 07:00:00,Surrender,City,In Custody,No,Yes,Laptop
291,478,947,487,141,2026-07-22 04:00:00,Preventive Custody,Village,In Custody,No,No,Knife
292,400,797,3,28,2025-08-17 18:00:00,Surrender,Railway Station,Judicial Custody,No,No,Knife
293,254,502,252,142,2026-08-25 20:00:00,Arrest,Village,In Custody,No,No,Vehicle
294,233,465,362,110,2025-12-30 12:00:00,Arrest,Village,Judicial Custody,Yes,No,Vehicle
295,178,363,430,40,2025-09-04 14:00:00,Preventive Custody,Village,Judicial Custody,No,Yes,Documents
296,234,469,43,42,2025-02-09 08:00:00,Arrest,Bus Stand,On Bail,No,Yes,No Seizure
297,471,936,24,168,2025-11-18 06:00:00,Arrest,Public Place,Judicial Custody,Yes,Yes,Cash
298,215,429,72,31,2026-10-20 18:00:00,Surrender,Village,In Custody,Yes,No,Laptop
299,4,8,57,14,2026-05-01 00:00:00,Arrest,Highway Checkpost,On Bail,Yes,No,Cash
300,75,156,224,100,2025-08-01 19:00:00,Surrender,Public Place,On Bail,No,No,Documents
